timestep,action,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
195,0.2898781,2460000.0,95835072.0,21.0,6.0,True,0.7835067323119882,-60.89711463262674,13.818375296912114,0.4537685186962263,61.488756072620646,1.0,14.491771971496437,0.8775575981730254,3.2663694670241643,0.10119726430040332,0.5916414399939096,0.0034942766913368395,5.670000000000001,0.27493139426176205,12.451247658280698,16.236595156286207,buy
196,0.025584176,2487000.0,96402072.0,21.0,0.0,True,0.7835067323119882,-45.503249582783226,14.491771971496437,0.5916414399939096,45.503249582783226,1.0,14.491771971496437,0.8775575981730254,3.2663694670241643,0.10119726430040332,0.0,0,0.0,0,13.213799371345395,17.202142999495354,buy
197,-1.2236015,2487000.0,96402072.0,21.0,0,False,-0.05,-43.73253720106763,14.491771971496437,0.0,45.82377855944839,1.0,16.886071258907364,0.9422362594112542,1.3672877168680095,0.018521093917471587,2.0912413583807616,0.042790409996901424,20.16,0.9828242367110334,13.230156587290342,17.18017865207539,wrong
198,-0.60536206,2583000.0,98367178.0,9.0,12.0,True,0.7851973053748896,-43.62361838031863,16.825627078384798,2.038447887302671,43.66936534685253,1.0,16.879071258907363,0.9420995698725926,1.1366741211613878,0.012837172065558788,0.04574696653389812,2.092763048466839e-05,0.45,0.002022951070760559,15.723563970049703,20.6166547128758,sell
199,0.21985777,2588000.0,98409974.0,15.0,6.0,True,0.7854813562727185,-76.4220134484289,16.876453681710213,0.04350638177299342,76.25434751651838,1.0,16.680491686460808,0.938109465626437,1.4300444592693946,0.020242582923937213,-0.16766593191051957,-0.01,-1.6500000000000001,-0.01,15.859035155773554,20.742329735096774,buy
200,-0.0069643166,2577000.0,98244974.0,15.0,0.0,True,0.7867154049479188,-61.02529200952741,16.680491686460808,-0.16766593191051957,60.71993287736458,1.0,16.324197149643705,0.9303863162807479,1.9682043052787677,0.03799755031847274,-0.30535913216283206,-0.01,-3.0000000000000004,-0.01,15.683503654782061,20.542115774829046,sell
201,0.2169507,2557000.0,97943522.0,19.0,4.0,True,0.7871184104212532,-61.26519408514475,16.32247268408551,-0.30683707036250013,60.87721538860574,1.0,15.87116627078385,0.9194549954424787,2.4096278092453876,0.0564095589425484,-0.3879786965390115,-0.01,-3.8000000000000003,-0.01,15.302437747622477,20.095821241578886,buy
202,-0.97926104,2537000.0,97488539.0,1.0,18.0,True,0.778810054465316,-50.33872684300652,15.782112826603326,-0.46453608233528704,50.362319359866376,1.0,15.809428741092638,0.9178641233855418,1.3192677393037293,0.01725408724826738,0.02359251685985365,5.566053027261653e-06,0.23,0.0005288601041694152,14.70527500642506,19.380807516658336,sell
203,0.58920336,2560000.0,97503906.0,22.0,21.0,True,0.7779335012829109,-97.38123062855625,15.800363420427555,0.015762878547190044,97.22328823802269,1.0,15.617465558194773,0.9127565074481437,1.4403635903951297,0.02053274524233939,-0.15794239053356487,-0.01,-1.54,-0.01,14.752855149450383,19.39602141383298,buy
204,-0.5393561,2553000.0,97303794.0,11.0,11.0,True,0.777173397443817,-41.58387870122864,15.562700712589074,-0.20523485489904372,41.99085152697478,1.0,16.03300950118765,0.9235083685276492,0.24588964430034999,0.0006044344276112668,0.4069728257461369,0.0016548979527141183,3.9600000000000004,0.1451386611661748,14.52663364955783,19.131553695150096,sell
