timestep,action,reward,rate_reward,rate_exp_reward,total_rate_reward,total_rate_exp_reward,net_income_rate_reward,net_income_rate_exp_reward,unrealized_gain_loss,unrealized_gain_loss_exp,reward_log,price,current_amt,total_rate,daily_rate,next_day_rate,order_qty,is_order,sharp_ratio,sortino_ratio,reward
13,0.05461125,0.01076326584098192,0.05692871314162684,0.016073807042239152,-9.321900332225914,-0.01,2.034218741643988,0.0405359761178572,1.3299999237060547,0.017533466064076797,buy,79400.0,54455216.0,-9.542830564784053,-0.28081492344653264,0.24423739316358603,31.0,True,-10.350388436557143,-9.93100246329551,0.01076326584098192
14,-0.62598926,-0.007194007035300234,-0.4104785173821831,-0.01,-9.115847176079734,-0.01,-0.7365748497291289,-0.01,1.350000023841858,0.018059929646997652,sell,80400.0,54577260.0,-9.340099667774087,0.22411810835531346,0.2473557668523484,83.0,True,-10.276027822781808,-9.760199722849238,-0.007194007035300234
15,-0.004165793,-0.004840127950803625,0.0,0,-9.049401993355481,-0.01,-1.5521583329365178,-0.01,0.3999999761581421,0.0015987204919637454,sell,83100.0,54712260.0,-9.115847176079734,0.2473557668523484,0.07310975638732525,0.0,True,-10.156110051638239,-9.542608319518678,-0.004840127950803625
16,-0.50243306,0.00606126615192996,0.07305175076217334,0.026329950989185447,-9.121566445182724,-0.01,0.13973454709952549,0.00019523837503854224,-0.3999999761581421,-0.01,sell,83900.0,54748817.0,-9.055121262458472,0.06681683410628624,-0.07306093938066278,25.0,True,-10.304208614983363,-9.49920102467445,0.00606126615192996
17,-0.23633277,-0.008884466788631641,-0.015536034166482748,-0.01,-9.066209302325582,-0.01,-1.6792192251480742,-0.01,0.3400000035762787,0.0011553321136835715,sell,82300.0,54708142.0,-9.122687707641196,-0.07429384273271146,0.062147970589094395,5.0,True,-10.585952014739,-9.735157506521565,-0.008884466788631641
18,1.4389297,-0.05,0,0,0,0,0,0,0,0,not_order,84000.0,54742142.0,-9.066209302325582,0.062147970589094395,0.11691175694221098,0,False,-10.671723488930283,-9.636540907491392,-0.05
19,0.41012323,0.011467899523724494,0.09087125047395077,0.04044718505578515,-8.87564950166113,-0.01,-5.237281254693103,-0.01,0.5379999876022339,0.002890255014104337,buy,87200.0,54803059.0,-8.96501827242525,0.11127989840076043,0.09816970253430561,249.0,True,-10.73391455748377,-9.534549199756814,0.011467899523724494
20,0.48639458,-0.009999999999999998,-0.9199406839811282,-0.01,-11.013289036544851,-0.01,-4.17756687557462,-0.01,-12.847000122070312,-0.01,buy,87400.0,54854700.0,-8.87923588039867,0.09423014142330996,-2.3420053340917004,174.0,True,-10.83573027756518,-9.465656209061672,-0.009999999999999998
21,0.4623668,0.007748491292885479,0.064969437537991,0.02088398418975268,-10.662862126245848,-0.01,-4.268154298241438,-0.01,2.119999885559082,0.043948976169844056,buy,84500.0,53568957.0,-11.015021594684384,-2.343906720846163,0.3957515917287694,87.0,True,-12.306451782269953,-11.109895772535719,0.007748491292885479
22,-0.5397208,-0.002049501446948445,-0.5845951692516629,-0.01,-10.283244186046511,-0.01,-5.10132577369811,-0.01,2.684000015258789,0.06950498553051554,sell,84900.0,53741087.0,-10.729091362126246,0.3213241579446843,0.4994316545923234,286.0,True,-12.124447346745395,-10.863760212508794,-0.002049501446948445
23,1.0310292,-0.05,0,0,0,0,0,0,0,0,not_order,86000.0,54009487.0,-10.283244186046511,0.4994316545923234,0.45177248211966914,0,False,-11.729275605584226,-10.490171524533139,-0.05
24,-0.25550327,0.024353588743068588,-0.39978260406933686,-0.01,-8.8345,-0.01,-8.61399283351709,-0.01,6.369999885559082,0.33353588743068585,sell,87000.0,54244631.0,-9.89263953488372,0.43537536285060435,1.1743097671730867,62.0,True,-11.38905950069602,-10.130967248537019,0.024353588743068588
25,-0.3195942,-0.008616337865148363,-0.05282325279579332,-0.01,-8.745825581395348,-0.01,-9.076586331119714,-0.01,0.6200000047683716,0.003836621348516367,sell,90500.0,54873013.0,-8.84881561461794,1.1584224805584906,0.11298814592156621,58.0,True,-10.113190391887372,-9.226037977084275,-0.008616337865148363
26,-1.2040828,-0.05,0,0,0,0,0,0,0,0,not_order,91000.0,54935013.0,-8.745825581395348,0.11298814592156621,0.0,0,False,-10.178758135782829,-9.146342626851188,-0.05
27,-0.22457066,0.00934297082926517,0.08844483384661511,0.03835742707316292,-9.042558139534885,-0.01,-7.388754390913054,-0.01,-1.7459999322891235,-0.01,sell,91000.0,54930980.0,-8.752524916943521,-0.007341401739542686,-0.31785342260414795,27.0,True,-10.344200781478639,-9.254036005934003,0.00934297082926517
28,0.49167064,-0.009999999999999998,-0.600709223847165,-0.01,-9.803694352159468,-0.01,-6.716594021398718,-0.01,-4.549999713897705,-0.01,buy,89200.0,54753176.0,-9.047880398671095,-0.3236861967509045,-0.8310020226041317,253.0,True,-10.8008967970146,-9.742141144842996,-0.009999999999999998
29,0.7055492,0.0825486939062971,0.20776747170631182,0.19413303948559923,-9.271378737541529,-0.01,-6.8457999062295105,-0.01,3.2279999256134033,0.09895478112057399,buy,87900.0,54295830.0,-9.807591362126246,-0.83528670556024,0.5945207946908629,188.0,True,-11.6434963780558,-10.712732319825035,0.0825486939062971
30,-0.36463976,0.28050379135821346,0.5019352776567064,0.7162594783955336,-10.114043189368772,-0.01,-6.14491419267638,-0.01,-4.788000106811523,-0.01,sell,88500.0,54590146.0,-9.318694352159469,0.5420600440217969,-0.8770813692273328,196.0,True,-11.158367171945478,-10.233209051365552,0.28050379135821346
31,-0.2624023,0.015593722676693731,-0.3451679223242573,-0.01,-9.252626245847177,-0.01,-7.598822497225346,-0.01,5.312999725341797,0.2459372267669373,sell,87100.0,54098619.0,-10.13518438538206,-0.9003951006102823,0.9820953100484876,89.0,True,-12.134874770390834,-11.355746487429476,0.015593722676693731
32,-1.3397337,-0.05,0,0,0,0,0,0,0,0,not_order,89200.0,54629919.0,-9.252626245847177,0.9820953100484876,0.0,0,False,-11.081561142003746,-10.498638019387132,-0.05
33,-0.83118314,0.1446844888406746,0.3074883216201553,0.3767112221016865,-9.360862126245847,-0.01,-6.825029711692373,-0.01,-0.343999981880188,-0.01,sell,89200.0,54599161.0,-9.30371926910299,-0.056302481429635655,-0.06300463115174974,210.0,True,-11.284863703103989,-10.665306793468176,0.1446844888406746
34,0.16953805,-0.009999999999999998,-0.1422209071495869,-0.01,-9.548930232558138,-0.01,-6.131069152073023,-0.01,-1.1200000047683716,-0.01,buy,88400.0,54563544.0,-9.362883720930233,-0.06523360313174043,-0.2052652591627846,97.0,True,-11.46790584876613,-10.826793529829818,-0.009999999999999998
35,-1.1561614,-0.05,0,0,0,0,0,0,0,0,not_order,87600.0,54451544.0,-9.548930232558138,-0.2052652591627846,-1.0798591863620983,0,False,-11.82473263949523,-11.202817864701881,-0.05
