,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
283,20200217,4980,4990,4865,745300,10,4985.0,4886.25,5203.083333333333,66.08187134502924,5221.31529214468,4886.25,4551.18470785532
284,20200218,4865,4980,4850,874937,-115,4970.0,4871.5,5189.333333333333,55.73770491803278,5182.146100892962,4871.5,4560.853899107038
285,20200219,4710,4860,4660,1045016,-155,4904.0,4850.5,5172.0,53.125,5144.760089036893,4850.5,4556.239910963107
286,20200220,4585,4700,4560,1314714,-125,4822.0,4827.25,5153.75,51.25628140703519,5128.189778028761,4827.25,4526.310221971239
287,20200221,4515,4585,4475,912340,-70,4731.0,4802.0,5137.333333333333,46.63461538461539,5118.360553798984,4802.0,4485.639446201016
288,20200224,4240,4395,4205,1907018,-275,4583.0,4765.75,5116.166666666667,26.222222222222225,5156.4964011350585,4765.75,4375.0035988649415
289,20200225,4410,4635,4060,1628587,170,4492.0,4751.0,5096.5,34.645669291338585,5170.983333002632,4751.0,4331.016666997368
290,20200226,4340,4365,4225,755266,-70,4418.0,4730.0,5077.166666666667,28.0,5186.497535590281,4730.0,4273.502464409719
291,20200227,4250,4365,4245,749367,-90,4351.0,4710.0,5057.0,26.31578947368421,5211.587479907543,4710.0,4208.412520092457
292,20200228,4065,4160,4040,1440028,-185,4261.0,4685.25,5036.083333333333,23.25581395348837,5257.827287359532,4685.25,4112.672712640468
293,20200302,4040,4270,3900,1929025,-25,4221.0,4658.0,5016.916666666667,19.17808219178082,5295.286434815617,4658.0,4020.713565184383
294,20200303,4125,4400,4060,2944242,85,4164.0,4625.5,4999.0,18.33910034602076,5300.769575799177,4625.5,3950.230424200823
295,20200304,4140,4165,4060,1248498,15,4124.0,4592.5,4982.666666666667,19.787985865724384,5294.415237047893,4592.5,3890.5847629521063
296,20200305,4390,4435,4160,2124854,250,4152.0,4567.5,4971.166666666667,32.3170731707317,5260.814502949419,4567.5,3874.185497050581
