,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
1268,20240213,249000,261000,247500,2690468,-1000,243500.0,203800.0,193356.66666666666,88.32035595105673,254453.45003057542,203800.0,153146.54996942458
1269,20240214,245500,251000,244500,1702299,-3500,245000.0,206700.0,194406.66666666666,84.21645997745209,259867.39602425531,206700.0,153532.60397574469
1270,20240215,240000,250500,237000,2103428,-5500,245900.0,209390.0,195326.66666666666,79.25531914893617,263570.7678055599,209390.0,155209.23219444006
1271,20240216,252500,253000,235500,2261790,12500,247400.0,212925.0,196461.66666666666,81.03112840466926,268647.7377288661,212925.0,157202.2622711339
1272,20240219,252500,257000,248500,1801441,0,247900.0,216540.0,197610.0,82.14990138067061,272680.9084358278,216540.0,160399.0915641722
1273,20240220,242000,253000,238500,1944653,-10500,246500.0,219555.0,198573.33333333334,72.39382239382239,274348.4111002409,219555.0,164761.5888997591
1274,20240221,239500,246000,237500,1149137,-2500,245300.0,222525.0,199515.0,74.6268656716418,274824.67017104407,222525.0,170225.3298289559
1275,20240222,243500,245500,237500,1475580,4000,246000.0,225460.0,200493.33333333334,74.47447447447448,275501.51876192406,225460.0,175418.4812380759
1276,20240223,244000,249500,242000,1660625,500,244300.0,228410.0,201493.33333333334,70.68965517241381,275427.9497638934,228410.0,181392.05023610665
1277,20240226,239000,241000,231500,1751340,-5000,241600.0,230925.0,202395.0,58.21917808219178,274427.1781063891,230925.0,187422.82189361088
1278,20240227,238500,244500,237500,1265434,-500,240900.0,233485.0,203275.0,50.4,272177.0288948512,233485.0,194792.9711051488
1279,20240228,248000,250000,231500,1911431,9500,242600.0,236105.0,204328.33333333334,58.99280575539567,271100.68401960446,236105.0,201109.31598039554
1280,20240229,250500,253500,243500,2056620,2500,244000.0,239130.0,205431.66666666666,54.39999999999999,267492.0239052152,239130.0,210767.97609478477
1281,20240304,255500,260000,253000,1854280,5000,246300.0,242175.0,206643.33333333334,54.39999999999999,262774.2111499446,242175.0,221575.78885005545
1282,20240305,249000,254500,247500,1436614,-6500,248300.0,244225.0,207766.66666666666,50.0,257761.89403075905,244225.0,230688.10596924095
1283,20240306,251000,254000,246000,1103072,2000,250800.0,245425.0,208926.66666666666,54.13533834586466,256708.94877691317,245425.0,234141.05122308683
1284,20240307,250000,258000,247500,988457,-1000,251200.0,246025.0,210045.0,58.06451612903225,256935.889056351,246025.0,235114.110943649
1285,20240308,253000,255000,249500,1210240,3000,251700.0,246900.0,211218.33333333334,50.476190476190474,257076.44338656685,246900.0,236723.55661343315
1286,20240311,243500,252500,242000,1178615,-9500,249300.0,246825.0,212191.66666666666,42.74193548387097,257078.1702414424,246825.0,236571.8297585576
1287,20240312,241500,247000,240000,1096802,-2000,247800.0,246400.0,213126.66666666666,49.532710280373834,256795.19119593286,246400.0,236004.80880406714
1288,20240313,248500,250000,241000,1413782,7000,247300.0,246375.0,214175.0,57.758620689655174,256747.43944306255,246375.0,236002.56055693745
1289,20240314,251500,255000,246000,1574794,3000,247600.0,246675.0,215283.33333333334,57.01754385964912,257273.46687026005,246675.0,236076.53312973995
1290,20240315,243500,254500,243500,1175933,-8000,245700.0,246850.0,216261.66666666666,49.61240310077519,257112.0660687797,246850.0,236587.9339312203
1291,20240318,242500,247500,241000,723835,-1000,245500.0,246350.0,217090.0,52.892561983471076,256435.13757962675,246350.0,236264.86242037325
1292,20240319,237500,244000,236000,944727,-5000,244700.0,245600.0,217848.33333333334,49.230769230769226,255971.11372997134,245600.0,235228.88627002866
1293,20240320,241000,246000,237500,1230314,3500,243200.0,245550.0,218661.66666666666,44.06779661016949,255999.40189675946,245550.0,235100.59810324054
1294,20240321,252000,254000,246000,1578378,11000,243300.0,246175.0,219543.33333333334,51.11111111111111,256597.45172692108,246175.0,235752.54827307892
1295,20240322,243500,254000,241000,1091572,-8500,243300.0,246175.0,220290.0,41.549295774647895,256597.45172692108,246175.0,235752.54827307892
1296,20240325,239500,245500,239500,784822,-4000,242700.0,245950.0,220965.0,43.065693430656935,256738.4197174563,245950.0,235161.5802825437
1297,20240326,240500,244000,238500,802094,1000,243300.0,246025.0,221660.0,42.222222222222214,256638.55265686283,246025.0,235411.44734313717
1298,20240327,244000,247500,240500,818180,3500,243900.0,246300.0,222418.33333333334,45.714285714285715,256391.5806492343,246300.0,236208.4193507657
1299,20240328,237000,246000,236000,1050347,-7000,240900.0,245750.0,222976.66666666666,39.18918918918919,256582.82050068217,245750.0,234917.17949931783
1300,20240329,233000,239000,232000,852346,-4000,238800.0,244875.0,223518.33333333334,42.33576642335767,256803.43242006257,244875.0,232946.56757993743
1301,20240401,227500,235000,227000,898781,-5500,236400.0,243475.0,224080.0,40.27777777777778,256599.30950564638,243475.0,230350.69049435362
1302,20240402,220000,226500,216500,1802613,-7500,232300.0,242025.0,224580.0,30.344827586206897,258394.1019912517,242025.0,225655.8980087483
1303,20240403,216000,223500,214500,1138600,-4000,226700.0,240275.0,225058.33333333334,25.850340136054424,259641.14313692844,240275.0,220908.85686307156
