timestep,action,reward,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
48,0.338008,0.132460385,68300,89125024,1303,0,TRUE,0.132460385,-2.349296767,7.907222914,0.44052498,-0.428289021,-0.01,7.907222914,0.464867951,-1.828750683,-0.01,-2.777585788,-0.01,-23.454,-0.01,4.047417418,8.782914587,buy
49,-0.28458068,-0.01,66500,86739228,933,370,TRUE,-0.01,-2.48518755,-22.50174346,-2.676909237,-25.76976533,-0.01,-22.50174346,-0.01,-32.56775006,-0.01,-28.25495288,-0.01,1.866,0.034220334,-17.16282202,-34.31845285,sell
50,-0.3800812,-0.01,66700,86887060,579,354,TRUE,-0.01,-28.36251667,-51.97833126,0.170432691,-27.25642129,-0.01,-51.97833126,-0.01,-61.87932136,-0.01,-55.61893796,-0.01,-0.579,-0.01,-38.00835194,-75.25199574,sell
51,-0.2557925,-0.01,66600,86812976,431,148,TRUE,-0.01,-56.21868205,-64.73636364,-0.08526471,-11.16326786,-0.01,-64.73636364,-0.01,-73.15220522,-0.01,-67.38194991,-0.01,-3.879,-0.01,-47.41147399,-91.17658429,sell
52,0.30695337,0.495,65700,86422548,702,271,TRUE,0.495,-68.72241772,-44.92403487,-0.449734611,19.89656269,1,-44.92403487,-0.01,-48.88443091,-0.01,-48.82585503,-0.01,-18.954,-0.01,-33.67442828,-64.76494328,buy
53,-0.32878646,-0.01,63000,84503356,472,230,TRUE,-0.01,-47.3637366,-61.91083437,-2.220707494,-16.44172457,-0.01,-61.91083437,-0.01,-68.84152744,-0.01,-63.80546117,-0.01,8.496,0.514132905,-45.11986813,-85.4505508,sell
54,0.66842574,0.495,64800,85347767,1036,564,TRUE,0.495,-64.3081631,-17.55865504,0.999263272,41.87363707,1,-17.55865504,-0.01,-23.0041996,-0.01,-22.43452603,-0.01,-9.324,-0.01,-14.07256448,-26.50243507,buy
55,1.1544448,-0.05,63900,84415367,1036,0,FALSE,-0.05,-23.16284034,-18.33275218,-1.092471464,0.848695803,0.972715127,-18.33275218,-0.01,-22.78819772,-0.01,-22.31414453,-0.01,-6.216,-0.01,-14.64624233,-28.08077868,wrong
56,0.42208907,0.495,63300,83792676,1157,121,TRUE,0.495,-22.06869159,-8.50622665,-0.737651238,9.748789075,1,-8.50622665,-0.01,-13.2917052,-0.01,-12.31990252,-0.01,2.314,0.052137624,-7.792359299,-15.08717947,buy
57,0.63151276,0.501814771,63500,84023147,1261,104,TRUE,0.501814771,-11.07719247,1.131257783,0.275049099,7.727226304,1,1.131257783,0.012715903,-5.139369279,-0.01,-3.349966171,-0.01,11.349,0.724177576,-0.911066887,-1.748966704,buy
