timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
14,-0.77079487,0.7121021930544038,20170313, 083650.csv,6760.0,6320.0,634.0,50022609.0,54308449.0,2129.0,-0.8627958907175902,-1.2409637023593467,0.006257716011946007,0.6647299791675635,0.8902257973463009,-3.3973560015657807,-1.4365716878402903,-0.19806591155002673,-0.00039222411318484696,-2.8744206127140863,-3.4399827899015025,sell
15,-0.23906086,0.057364411704836776,20170314, 083650.csv,6320.0,6320.0,483.0,51041694.0,54094254.0,151.0,-0.5136585653550887,-1.4396116152450091,-0.2011440373789959,0.12232616914241728,0.07208807423920482,2.850406095594737,-1.825310344827586,-0.3913323962126714,-0.0015302384326354446,-3.1192059201731634,-3.764777715395953,sell
16,-0.7062434,0.0,20170315, 083650.csv,6320.0,6180.0,142.0,53193276.0,54090716.0,341.0,0.0,-1.8317313974591651,-0.39784723725257554,0,0,2.843985042963158,-1.8317313974591651,0.0,0,-3.535647126976297,-4.347645050077243,sell
17,-0.51093477,0.0013872076443859351,20170316, 083650.csv,6180.0,5950.0,70.0,53647570.0,54080170.0,72.0,-0.03675307237567349,-1.8330852994555353,-0.0013791645871354338,0.01863511076467611,0.00173483020546783,4.9364591733664005,-1.8508711433756806,-0.01811796161099738,-3.282599941645259e-06,-3.622710249209595,-4.4326618653225625,sell
18,0.07759465,-0.31462141483811973,20170317, 083650.csv,5950.0,6270.0,743.0,49487840.0,53908690.0,673.0,-0.029770616475502946,-1.8519419237749548,-0.019208736850843143,-0.3159972766060683,-0.3930272574450816,8.094323142072687,-2.162087114337568,-0.3159972766060683,-0.0009980444102722918,-3.651592464857816,-4.460415840885415,buy
19,0.35017943,0.8091967055340542,20170320, 083650.csv,6270.0,6100.0,3655.0,32158980.0,55075830.0,2912.0,0.4410420657597133,-2.166551724137931,-0.32054612850173764,1.7286514928512302,0.9999996755647695,5.3859985546640825,-0.043865698729582576,2.1696935586109434,0.04598482541119264,-4.037546448896454,-4.991946924897598,buy
20,-0.89910764,0.7953021531188137,20170321, 083650.csv,6100.0,5970.0,369.0,52728372.0,54979272.0,3286.0,-1.1281718314549232,-0.1052595281306715,2.1069401440241697,1.014204319880762,0.9941601607740498,7.774859739456301,-0.2191070780399274,-0.11396751157416113,-0.0001298775021310039,-1.9897663866214668,-2.630932671946823,sell
21,-0.8137829,0.019875449996426035,20170322, 083650.csv,5970.0,5840.0,69.0,54555368.0,54967298.0,300.0,-0.08725106436476641,-0.22455898366606172,-0.11942516189727256,0.07093493319340352,0.02484497803498764,9.713912655722627,-0.24083847549909257,-0.016316131171362887,-2.662157820410016e-06,-2.143027283729453,-2.8469769972110037,sell
22,-0.1557042,2.1983511444578775e-05,20170323, 083650.csv,5840.0,5990.0,59.0,54614971.0,54959531.0,10.0,-0.01631879376715952,-0.2410145190562613,-0.016492570939882642,0.0023650179509232174,2.7966158480663417e-05,11.660600780700387,-0.254934664246824,-0.013953775816236304,-1.9470766997597977e-06,-2.176146389703887,-2.890835024467674,sell
23,-0.30094692,-8.584145473191641e-05,20170324, 083650.csv,5990.0,6090.0,42.0,54714089.0,54965669.0,17.0,0.0161027574998775,-0.25522867513611613,-0.014248497026435818,-0.004639743796062959,-0.00010763031990701499,9.409297087702875,-0.24379491833030853,0.01146301370381454,1.3140059684779715e-06,-2.234288273675172,-2.969129052905566,sell
24,0.035083428,0.013452008686507245,20170327, 083650.csv,6090.0,6200.0,362.0,52797017.0,55001597.0,320.0,0.00764113323172688,-0.2442885662431942,0.010968102635967309,0.058218483865189574,0.01680416737039292,7.96620654342988,-0.17858983666061706,0.06585961709691646,4.337395096454255e-05,-2.292727789715239,-2.985244105691068,buy
25,0.059080914,0.04092237335259784,20170328, 083650.csv,6200.0,6090.0,874.0,49678495.0,55097295.0,512.0,0.07239789782831216,-0.17939201451905626,0.06505547481081597,0.10239843144877303,0.051076593966887684,6.480761935655178,-0.004909255898366606,0.1747963292770852,0.00030549089543840946,-2.251065335722611,-2.874317631313039,buy
26,-0.17399493,0.003632597412083927,20170329, 083650.csv,6090.0,5800.0,722.0,50619349.0,55016329.0,152.0,-0.17449132484634683,-0.0077150635208711425,0.17198547921402743,0.030342272620920152,0.004592688741563267,7.992943385535144,-0.1518529945553539,-0.14414905222542668,-0.00020776790583343363,-2.1346033801863333,-2.6760527663521025,sell
27,-0.7385124,0.2608451312848625,20170330, 083650.csv,5800.0,6020.0,189.0,53859991.0,54956191.0,533.0,-0.3805779189665672,-0.16152268602540834,-0.1538194897758809,0.2809433022469041,0.32608123051641036,12.257857325088349,-0.2609963702359347,-0.09963461671966305,-9.926564132889393e-05,-2.3249225122750206,-2.9384066589599533,sell
28,-0.15312979,-0.000494066652305003,20170331, 083650.csv,6020.0,6240.0,161.0,54022125.0,54991345.0,28.0,0.07566026546490458,-0.26147912885662433,-0.10011815636657838,-0.011208616256925638,-0.0006279681374002921,9.00340731099085,-0.19719600725952813,0.06445164920797894,4.153928807615337e-05,-2.49305837080366,-3.169079547515862,sell
