timestep,action,reward,current_date,stock_code,price,next_price,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
100,0.089712806,0.49275711820698215,20200717,datas,328000.0,323000.0,2.146348405283426,73.40549803921569,-0.30662120075477517,0.3141656585219552,0.3895142364139643,77.67216470588235,1.0,-13.452095649147239,-0.01,2.4605140638053813,0.058745100511619186,-6.800000000000001,-0.01,19.00861030247223,31.94893846854484,buy
101,0.18428636,0.293,20200720,datas,323000.0,321500.0,1.9991676768418725,80.33883137254902,3.998335353683745,-3.921475058054258,-0.01,76.87216470588235,1.0,-13.364521684650185,-0.01,-1.9223073812123854,-0.01,-2.04,-0.01,20.86291831430262,35.02925531588168,buy
102,0.10262653,0.7979901462095322,20200721,datas,321500.0,321500.0,-1.9223073812123854,77.67216470588235,-1.4786979855479887,1.4720398892142348,0.9999802924190646,76.87216470588235,1.0,-13.364521684650185,-0.01,-0.45026749199815075,-0.01,0.0,0,20.220524111206124,34.1930642765974,buy
103,-0.044255435,0.6116598608824111,20200722,datas,321500.0,322000.0,-0.30017832799876715,76.85974901960785,-0.457255466898475,0.4443049380371279,0.6273197217648223,77.11465098039216,1.0,-13.417893398306063,-0.01,0.14412661003836072,0.0002077032239096166,0.65,0.004216087244049427,20.096828167152708,34.084852752221146,sell
104,0.26707655,0.293,20200723,datas,322000.0,319000.0,-0.7206330501918037,76.85939215686275,-0.00020177725405370506,-0.011088138757565535,-0.01,75.56527450980393,1.0,-13.192121939900218,-0.01,-0.7317211889493692,-0.01,-3.9600000000000004,-0.01,20.198012174811925,34.25941443102319,buy
105,-0.004081391,0.293,20200724,datas,319000.0,317000.0,-1.3170981401088646,77.11821568627451,0.14634423778987385,-0.14420570381768538,-0.01,74.52998039215686,1.0,-13.043984104884572,-0.01,-1.46130384392655,-0.01,-2.64,-0.01,20.365505296955597,34.382691414413735,sell
106,0.27108675,0.7862591623304039,20200727,datas,317000.0,317500.0,-1.315173459533895,75.56492156862745,-0.8769815750619199,0.8662026246569918,0.9765183246608079,74.77668627450981,1.0,-13.093136210697295,-0.01,-0.4489708348769032,-0.01,0.67,0.004478939498992696,20.027527930339737,33.978622321083414,buy
107,0.20064409,0.679024448141825,20200728,datas,317500.0,301500.0,-5.237993073563872,74.51376470588235,-0.5987282956944255,0.5358526052913541,0.7620488962836502,66.30788235294118,1.0,-12.09448451096415,-0.01,-4.702140468272518,-0.01,-21.6,-0.01,19.819836955409556,33.74759393994193,buy
108,0.075064644,0.293,20200729,datas,301500.0,300000.0,-5.157186320040826,74.7784705882353,0.15168195058943607,-0.1436415514765299,-0.01,65.51376470588235,1.0,-12.001028193525926,-0.01,-5.300827871517356,-0.01,-2.0250000000000004,-0.01,19.987598824119566,33.878879987640154,buy
109,0.19042964,0.798,20200730,datas,300000.0,296500.0,-6.360993445820827,66.30788235294118,-4.846471196815869,4.76933177225578,1.0,63.66082352941177,1.0,-11.78296345283674,-0.01,-1.5916616735650462,-0.01,-4.7250000000000005,-0.01,17.59837241382753,29.637725823678096,buy
