timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
31,0.15720958,-3.0642807555426823,20181213, 083650.csv,4310.0,4050.0,3417.0,17632034.0,32359304.0,756.0,-4.298673787868563,17.252342960288807,-1.9297841159212337,-3.1035996632767633,-1.0,13.61329963898917,-3.1035996632767633,-0.09182965077526073,11.771413407999127,25.703465694782373,buy
32,-0.041280746,2.2821617101490306,20181214, 083650.csv,4050.0,3750.0,3276.0,18238747.0,31506547.0,141.0,-6.259802710676861,16.816992779783394,-0.37129337419966113,0.5902848338608706,0.824861979165869,10.19403249097473,-5.66951787681599,-0.2748917533551094,11.544612082442434,25.835369315917934,sell
33,1.0421823,-1.0,20181217, 083650.csv,3750.0,3710.0,3276.0,18238747.0,30523747.0,0,-6.074483439445704,13.742046931407941,-2.6322761570931386,-3.535265225986205,-1.0,9.720963898916967,-3.535265225986205,-0.11748633173943746,8.572396920684323,15.479034529436264,wrong
34,-1.4430159,-1.0,20181218, 083650.csv,3710.0,3570.0,3276.0,18238747.0,30392707.0,0,-4.990962671980525,10.19403249097473,-3.1193516699878283,3.0590897600474,1.0,8.065223826714801,-1.9318729119331253,-0.03663347245534576,5.5844571074965295,8.7374823625267,wrong
35,-0.7768531,2.9989596657772486,20181219, 083650.csv,3570.0,3550.0,732.0,27661490.0,30274730.0,2544.0,-2.1465254577034725,9.665018050541516,-0.48007539834477075,1.7609732624887044,0.9999998154110095,9.242202166064981,-0.3855521952147679,-0.0014854006511134665,5.312543748481737,8.442398964074899,sell
36,0.7326459,-3.0850000241237967,20181220, 083650.csv,3550.0,3400.0,6407.0,7398864.0,30143714.0,5675.0,-0.7470073782286129,9.284671480144405,-0.34682579473230096,-3.5980287167082667,-1.0,5.35257761732852,-3.5980287167082667,-0.12142860589113824,5.108655162640805,8.198114857324732,buy
37,-0.67922986,2.992206789212081,20181221, 083650.csv,3400.0,3395.0,2056.0,22819552.0,29809952.0,4351.0,-3.7038530907290976,8.730512635379062,-0.5070782912734714,2.645760669204839,0.9999999999999993,7.580043321299638,-1.0580924215242586,-0.01113315826845307,4.743011901878307,7.723036525107667,sell
38,-0.83927494,2.999704494489118,20181224, 083650.csv,3395.0,3215.0,331.0,28674923.0,29798668.0,1725.0,-2.286844911036301,7.582393501805054,-1.0559309486787325,2.081360561084792,0.9999999996082154,7.361328519855595,-0.2054843499515089,-0.000422149050754439,3.9338996869289904,6.53868771392741,sell
39,0.93994343,-3.118229586213568,20181226, 083650.csv,3215.0,3240.0,8268.0,1724982.0,28306602.0,7937.0,-0.17771619455265636,7.5626064981949455,-0.01839241809560252,-4.1234980894499245,-1.0,2.9361083032490973,-4.30121428400258,-0.16889940887652555,3.9986854731761063,6.597992576047875,buy
40,0.18881257,3.1325955470649216,20181227, 083650.csv,3240.0,3370.0,8369.0,1400221.0,28515781.0,101.0,-0.6937442393552549,2.189736462093863,-4.995109556211105,5.276406835869555,1.0,6.872747292418772,4.582662596514299,0.1894222100927453,0.15409756572875993,0.20353087535120082,buy
41,1.1008273,-1.0,20181228, 083650.csv,3370.0,3300.0,8369.0,1400221.0,29603751.0,0,2.5130714413625084,2.945057761732852,0.7391361655181166,1.7609196816317254,0.999999815236762,4.757837545126354,1.7609196816317254,0.030532552308601968,0.6289308056061855,0.8224647354471566,wrong
42,0.32234514,-2.999422875497893,20190102, 083650.csv,3300.0,3380.0,8502.0,951948.0,29008548.0,133.0,4.108812590474026,6.872519855595669,3.8151050465705287,-3.8216186435576818,-1.0,7.179451263537906,0.2871939469163437,0.0008244635744384388,2.9581110438585414,4.062195868369328,buy
