timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,average_line,average_slope,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,sharp_data,sortino_data,reward_log
49,0.6120399,-10.95,002380.csv,20190531,258000.0,256000.0,25568267.0,6476267.0,37.0,74.0,True,-18.9873417721519,-0.28940592082276384,-9.332386524822695,0.35775233953034413,-10.309439303891665,25657322.714285713,-0.06668387703650813,-0.5788425159984445,-0.9649362197597218,9.130132552293745,-9.857209219858156,-0.5788425159984445,-0.8127467483852998,-14.8,-11.019062566854762,-7.785393404222558,buy
50,0.47593117,-6.8,002380.csv,20190603,256000.0,267000.0,25419868.0,3659868.0,11.0,85.0,True,-15.50632911392405,3.2021693556562565,-9.858624113475177,-0.5804030441327916,-10.395343578247749,25636633.714285713,-0.08063584899480021,3.678225237046864,1.0,8.963307837328305,-6.543021276595745,3.678225237046864,1.0,93.5,-11.65213513949426,-8.338491409182424,buy
51,-0.31170678,-7.26,002380.csv,20190604,267000.0,263000.0,26343470.0,10590470.0,26.0,59.0,True,-16.77215189873418,-1.2900842455367258,-6.583439716312056,3.6333862945315056,-6.545143497625581,25682582.42857143,0.1792306852678245,0.39422656239931075,0.7886301476051965,9.35183274979801,-7.42031914893617,-0.8958576831374151,-0.9819173966209824,-23.6,-7.422932156309707,-5.968850100495509,sell
52,-1.2381315,0.1,002380.csv,20190605,263000.0,261000.0,26081992.0,26081992.0,59.0,0.0,True,-17.405063291139243,-0.4519779204955517,-7.510666666666667,-0.9925723528449365,0,25708600.42857143,0.10130601185593949,0.4519779204955517,0.87034009943875,9.894396624472575,-7.510666666666667,0.0,0,-0.0,-8.260049771959487,-6.7351862812141885,sell
53,-0.00069728494,0.09,002380.csv,20190607,261000.0,268500.0,26081992.0,26081992.0,0,0.0,False,-15.031645569620252,0.0,-7.510666666666667,0.0,0,25731715.0,0.08990987857465146,0,0,7.520978902953585,-7.510666666666667,0.0,0,0.0,-8.338185603133386,-6.736656097089917,wrong
54,-0.16999245,0.09,002380.csv,20190610,268500.0,269500.0,26081992.0,26081992.0,0,0.0,False,-14.715189873417723,0.0,-7.510666666666667,0.0,0,25755596.07142857,0.0928079276044014,0,0,7.204523206751055,-7.510666666666667,0.0,0,0.0,-8.418416423779355,-6.740330636779238,wrong
55,-0.70457983,0.1,002380.csv,20190611,269500.0,269000.0,26081992.0,26081992.0,0,0.0,False,-14.873417721518987,0.0,-7.510666666666667,0.0,0,25780821.714285713,0.09794237643416583,0,0,7.362751054852319,-7.510666666666667,0.0,0,-0.0,-8.511020403183664,-6.754293887598662,wrong
56,-0.3638824,0.1,002380.csv,20190612,269000.0,271000.0,26081992.0,26081992.0,0,0.0,False,-14.240506329113925,0.0,-7.510666666666667,0.0,0,25806904.5,0.10117127376058101,0,0,6.729839662447258,-7.510666666666667,0.0,0,0.0,-8.510794840616999,-6.695501252569513,wrong
57,1.1984673,-0.08,002380.csv,20190613,271000.0,270500.0,26078298.0,62298.0,96.0,96.0,True,-14.39873417721519,0.0,-7.523765957446808,-0.01416302865210602,0.0,25833437.714285713,0.10281440102865762,-0.18406109171695179,-0.2873642472698824,6.704755453810933,-7.693978723404256,-0.18406109171695179,-0.15582244004586476,-4.8,-8.608836274316445,-6.8303883619829575,buy
58,-0.07601112,-1.12,002380.csv,20190614,270500.0,267500.0,26027190.0,1952690.0,7.0,89.0,True,-15.348101265822786,-1.1064030077565765,-7.704999999999999,-0.19597904740562438,-0.18450184501845018,25856413.0,0.08893623051020476,0.08055273348570835,0.0628270438013615,6.696292755184487,-8.651808510638299,-1.0258502742708682,-0.9948142662125482,-26.700000000000003,-8.833756068144428,-7.075529603896075,sell
