timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,sharp_data,sortino_data,reward_log
150,-0.2890557,17.06,003240.csv,20210315,923000.0,939000.0,15144092.0,5914092.0,3.0,10.0,True,38.291605301914586,1.373060733248758,16.493015384615383,0.5741537949046192,0,-0.3165431156854206,-0.6328539085823952,-20.56782068652997,17.723784615384616,1.0565176175633375,0.9962317605693044,16.0,9.151901163714442,15.99754554540713,sell
151,0.029957801,-12.4,003240.csv,20210316,939000.0,925000.0,15304092.0,5914092.0,0.0,10.0,True,36.22974963181149,-0.9147880187860868,17.723784615384616,1.0565176175633375,2.5109170305676853,0,0,-19.582888093349947,16.64686153846154,-0.9147880187860868,-0.9847653919919398,-14.0,9.992853705930754,17.430718422874186,wait
152,0.36261934,-4.27,003240.csv,20210317,925000.0,921000.0,15163830.0,4063830.0,2.0,12.0,True,35.640648011782034,-0.2637810427422888,16.644846153846153,-0.9164999792212436,0.85041430440471,-0.31654272040770703,-0.6328529898175308,-19.36503262716665,16.275615384615385,-0.31654272040770703,-0.394073428390478,-4.8,9.296988985930357,16.288869532771844,buy
153,0.44585797,3.16,003240.csv,20210318,921000.0,923000.0,15115700.0,3142700.0,1.0,13.0,True,35.93519882179676,0.15877394757681185,16.274615384615384,-0.31740002360881125,0.3883098303699162,0.17200658917549302,0.2561104185537926,-19.460583437181377,16.474615384615383,0.17200658917549302,0.13750966298386424,2.6,9.076821988646538,15.915995403133286,buy
154,0.1527866,35.25,003240.csv,20210319,923000.0,948000.0,15141700.0,3142700.0,0.0,13.0,True,39.617083946980856,2.1463904317216693,16.474615384615383,0.17200658917549302,0.60630833163022,0,0,-20.642468562365472,18.974615384615383,2.1463904317216693,0.9999999999009067,32.5,9.268018431393,16.198828934341346,wait
155,-0.58087707,0.0,003240.csv,20210322,948000.0,948000.0,15455804.0,9767804.0,7.0,6.0,True,39.617083946980856,0.0,18.8908,2.074430215893856,0,-1,-0.9999546000702375,-20.726283946980857,18.8908,0.0,0,0.0,10.832244295825287,18.968777281475038,sell
156,0.46904194,3.71,003240.csv,20210323,948000.0,949000.0,15455266.0,5975266.0,4.0,10.0,True,39.76435935198822,0.038820368063673685,18.88666153846154,-0.00348089300304274,2.647393210979373,0.06470286567698026,0.041000387598409516,-20.800774736603604,18.963584615384615,0.06470286567698026,0.02071474411099683,1.0,10.880145451165715,19.000117553808238,buy
157,0.90634036,-2.6,003240.csv,20210324,949000.0,946000.0,15464593.0,1229593.0,5.0,15.0,True,39.32253313696613,-0.19398308441639478,18.95840769230769,0.060348362816919486,2.1924534803583735,-0.29098728948120395,-0.5711877177788703,-20.710279290812284,18.612253846153845,-0.29098728948120395,-0.34516240011654065,-4.5,10.987049955172411,19.126088048939085,buy
158,-0.016574502,-23.96,003240.csv,20210325,946000.0,931000.0,15419593.0,1229593.0,0.0,15.0,True,37.11340206185567,-1.4591824829617748,18.612253846153845,-0.29098728948120395,0,0,0,-20.23191744647106,16.881484615384615,-1.4591824829617748,-0.9999762057735515,-22.5,10.81070783495169,18.83228942553025,wait
159,-0.7230756,-9.06,003240.csv,20210326,931000.0,914000.0,15179306.0,10524306.0,10.0,5.0,True,34.609720176730484,-1.6782285645953137,16.76389230769231,-1.5583225834819376,0,1.1182556646485045,0.9999962917753067,-18.49967402288433,16.110046153846152,-0.5599728999468092,-0.7915066730672573,-8.5,9.580188280533068,16.73422402222162,sell
160,0.26361585,0.78,003240.csv,20210329,914000.0,917000.0,15094047.0,8696047.0,2.0,7.0,True,35.051546391752574,0.09937522135830558,16.108053846153847,-0.5616791703125295,-1.4614278869190171,0.13912769716431916,0.17598385942039552,-18.781954084060267,16.269592307692307,0.13912769716431916,0.09224665212426542,2.1,9.193913129621754,16.103418204950525,buy
161,-0.6601393,0.96,003240.csv,20210330,917000.0,920000.0,15109025.0,12358025.0,4.0,3.0,True,35.49337260677467,0.1389344009317338,16.22326923076923,0.09923117372034153,0,-0.07936735408390608,-0.06104879778162142,-19.200872606774674,16.292499999999997,0.05956704684782771,0.01758471743252399,0.9,9.243450482142196,16.140137898741617,sell
162,-0.4235601,0.85,003240.csv,20210331,920000.0,924000.0,15116515.0,13276515.0,1.0,2.0,True,36.08247422680412,0.07937544752042677,16.280884615384615,0.04957302009891439,0,-0.026453196591558578,-0.00697328909477235,-19.740051149881047,16.342423076923076,0.052922250928868195,0.013906225794718119,0.8,9.313553566570727,16.21264789579328,sell
163,-1.35683,0.0,003240.csv,20210401,924000.0,954000.0,15121481.0,15121481.0,2.0,0.0,True,40.500736377025035,0.3967069357265341,16.319084615384615,0.03285148726409493,0,-0.3967069357265341,-0.7927364129842457,-24.18165176164042,16.319084615384615,0.0,0,0.0,9.389436911074798,16.294942796921077,sell
164,-0.11564553,0.0,003240.csv,20210402,954000.0,983000.0,15121481.0,15121481.0,0,0.0,False,44.77172312223859,0.0,16.319084615384615,0.0,0,0,0,-28.452638506853976,16.319084615384615,0.0,0,0.0,9.400759382211243,16.26530751396647,wrong
165,0.74904615,0.0,003240.csv,20210405,983000.0,983000.0,15119946.0,4306946.0,11.0,11.0,True,44.77172312223859,0.0,16.307276923076923,-0.010151122102391956,0.0,-1,-0.9999546000702375,-28.464446199161667,16.307276923076923,0.0,0,0.0,9.391509630682128,16.20876129833782,buy
166,-0.11649659,-1.07,003240.csv,20210406,983000.0,982000.0,15118333.0,5288333.0,1.0,10.0,True,44.62444771723123,-0.07275158257840339,16.29486923076923,-0.010668027518087698,0,0.006606723882672846,0.00043639275758822205,-28.40650156338507,16.217946153846157,-0.06614485869573054,-0.02163817353721742,-1.0,9.427942942715127,16.23322180774812,sell
167,0.19203895,2.03,003240.csv,20210407,982000.0,984000.0,15108333.0,5288333.0,0.0,10.0,True,44.918998527245954,0.132377278155042,16.217946153846157,-0.06614485869573054,-0.10172939979654119,0,0,-28.547206219553647,16.371792307692306,0.132377278155042,0.08388989435145655,2.0,9.407973679393237,16.173315660770374,wait
168,-0.08352864,21.32,003240.csv,20210408,984000.0,1004000.0,15128333.0,5288333.0,0.0,10.0,True,47.864506627393226,1.3220227238519935,16.371792307692306,0.132377278155042,0,0,0,-29.95425278123938,17.910253846153847,1.3220227238519935,0.9998397411779533,20.0,9.573149769481317,16.40853026364666,wait
169,0.8954946,17.96,003240.csv,20210409,1004000.0,1015000.0,15327763.0,1271763.0,4.0,14.0,True,49.48453608247423,0.7176253282075747,17.90586923076923,1.3182549590890154,1.5577584462876797,1.00471282078148,0.9999586929975873,-30.394051467089614,19.090484615384614,1.00471282078148,0.9935729476108698,15.4,10.595291605202698,18.142051339104896,buy
170,0.31859538,35.46,003240.csv,20210412,1015000.0,1037000.0,15481763.0,1271763.0,0.0,14.0,True,52.724594992636234,1.9894375078600546,19.090484615384614,1.00471282078148,2.670443050778879,0,0,-31.26487960802085,21.459715384615386,1.9894375078600546,0.9999999974554398,30.8,11.424718802526908,19.525387445258517,wait
