timestep,action,reward,current_amt,order_qty
136,-0.19220423698425293,0.016986376062097325,23394631.0,75.0
137,0.394815057516098,-0.018543506498355514,23836646.0,51.0
138,-0.11373130232095718,0.014203700415682051,23502819.0,41.0
139,0.37758681178092957,-0.005503476046637055,23632882.0,45.0
140,0.020147904753684998,0.0031498800335757423,23558675.0,1.0
141,-0.3235000967979431,-0.004276315845086436,23659852.0,120.0
142,0.1368611752986908,-0.007392288698780063,23836055.0,26.0
143,0.022496148943901062,-0.01606494418711862,24225232.0,3.0
144,0.6984924077987671,0.01894714598266532,23774768.0,114.0
145,0.1415904015302658,0.006692378398419153,23616716.0,7.0
146,-0.014118187129497528,0.0034344579296217608,23535883.0,5.0
147,0.5648526549339294,0.0016982478833294937,23495981.0,27.0
148,-0.02608209103345871,-0.012434359258899814,23791817.0,11.0
149,0.2522607445716858,-0.0068931545393329605,23956956.0,8.0
150,0.3015705645084381,-0.015567757966552171,24335810.0,6.0
151,0.01906554400920868,0.016044917418567766,23951510.0,0.0
152,0.03223947435617447,-0.010583405039138356,24207710.0,0.0
153,0.34176239371299744,0.003542204827871878,24122264.0,6.0
154,0.3175411522388458,-0.019362001998411208,24598541.0,3.0
155,0.12388305366039276,0.010749091268290456,24336941.0,0.0
156,0.1731795221567154,0.01086618362179316,24075334.0,1.0
157,0.5323039889335632,-0.0018106054462282107,24119004.0,4.0
158,-0.0885516107082367,-0.024818859294189567,24732845.0,39.0
159,0.1315213143825531,-0.0464924674244811,25938804.0,5.0
160,-0.01981545239686966,-0.006207657235714621,26100829.0,8.0
161,0.31583213806152344,4.137816729277325e-06,26100721.0,13.0
162,0.5322018265724182,0.01767520432287127,25647398.0,15.0
163,-0.30953413248062134,0.019153688391373103,25165388.0,132.0
164,0.2848610579967499,-0.005813992305399435,25312555.0,41.0
165,-0.02737860381603241,0.005371502084316775,25177315.0,9.0
166,0.18929360806941986,-0.01407879587934969,25536843.0,21.0
167,-0.2854643762111664,0.0072315862383796605,25353497.0,99.0
168,0.011926114559173584,-0.0029370563313199636,25428181.0,2.0
169,0.41267716884613037,-0.0039080309833008494,25527945.0,77.0
170,-0.009362690150737762,-0.010163219892318958,25790055.0,3.0
171,0.46369853615760803,0.0038114784566324394,25692130.0,51.0
172,-0.22322872281074524,0.010664557756244772,25421026.0,83.0
173,0.36920225620269775,-0.0045720876284229325,25537787.0,53.0
174,-0.0575619712471962,0.008267483299862979,25328385.0,19.0
175,-0.48536795377731323,0.03258037538422552,24529214.0,158.0
176,-0.01341816782951355,-0.0034256765749832246,24613532.0,2.0
177,0.28349751234054565,-0.001330300074424907,24646319.0,77.0
178,0.309579074382782,-0.0029418619388884818,24719039.0,60.0
179,-0.33461034297943115,0.00037847504907690657,24709687.0,101.0
180,0.19204097986221313,0.006630360160691365,24546932.0,45.0
181,0.17448171973228455,0.002035304381058096,24497073.0,33.0
182,0.08530301600694656,0.016325675628245214,24103566.0,14.0
183,0.11437241733074188,-0.002436426525868501,24162436.0,17.0
184,0.5143399834632874,-0.0025542522138194148,24224311.0,68.0
185,-0.09975676238536835,-0.030286116764878426,24980885.0,37.0
186,-0.33031290769577026,0.01152875168614209,24696169.0,113.0
187,0.44951921701431274,-0.008282168616979517,24902415.0,94.0
188,0.14992555975914001,-0.027822163520694564,25615082.0,16.0
