timestep,action,reward,price,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
56,-0.16139413,1.551211409315586,51400.0,46075658.0,0.0,-8.629295095933369,-10.863675676581,1.551211409315586
57,-0.422845,4.338276061579499,50600.0,46073176.0,1.0,-9.038077253321466,-11.405727897361936,4.338276061579499
58,-0.1843861,-1,48400.0,46068776.0,0.0,-9.030924601922525,-11.428558474370837,-3.7111938610586472
59,-0.24853002,-1,50200.0,46072376.0,0.0,-9.129666467194655,-11.456857292160171,-3.577843577715057
60,-0.23939483,-0.3837472532490518,52000.0,46075976.0,0.0,-9.25378971500608,-11.517066283147102,-0.3837472532490518
61,-0.6032901,7.749830919662618,52200.0,46076291.0,1.0,-9.448664688540871,-11.664391823039898,7.749830919662618
62,-0.4140556,-1,48150.0,46072241.0,0.0,-9.959040953996299,-12.332867723874854,-3.215742675665553
63,-0.44471508,1.80891180293969,49700.0,46073791.0,0.0,-9.980162657019306,-12.262089003731395,1.80891180293969
64,-0.014587879,-1,48800.0,46072891.0,0.0,-10.016015773783518,-12.33901919249111,-3.684617737433551
65,-0.61546504,-0.1974114196035035,50600.0,46074691.0,0.0,-10.356042429619265,-12.660889028547144,-0.1974114196035035
66,-0.42083317,0.7880864814146317,50700.0,46074791.0,0.0,-10.256786600193053,-12.44562357908688,0.7880864814146317
67,-0.33389965,0.3971802334998964,50300.0,46074391.0,0.0,-10.143020621542037,-12.342162631647218,0.3971802334998964
68,0.20849603,-1,50100.0,46072833.0,191.0,-10.249898019337683,-12.509414530818528,-2.053059451965132
69,-0.09408189,0.784942521894826,51400.0,46320915.0,18.0,-8.140447923345235,-10.165734213674998,0.784942521894826
70,0.0040349066,4.435097784755335,50900.0,46233901.0,2.0,-8.80468534893608,-11.09873466978984,4.435097784755335
71,-0.5902777,-1,48100.0,45732967.0,103.0,-11.746035250945077,-13.19491917126326,-2.3032557709697725
72,-0.36329532,4.23680142679087,49300.0,45818463.0,26.0,-11.13596089224527,-12.461842460967137,4.23680142679087
73,-0.49154842,0.931788496078336,47100.0,45713286.0,23.0,-12.037167188126388,-13.59439848843614,0.931788496078336
74,-0.12167443,0.5238712842825121,46650.0,45702334.0,2.0,-12.253353592955696,-13.885089838174723,0.5238712842825121
75,-0.4817112,3.1933679273143185,46400.0,45696073.0,10.0,-12.49160667965121,-14.194253061385792,3.1933679273143185
76,-0.43212992,-0.9953310283277473,44900.0,45677706.0,5.0,-12.819672352765961,-14.624833995329157,-0.9953310283277473
77,-0.9733618,0.7710088899173992,45350.0,45680410.0,6.0,-12.560558579600178,-14.237320802720129,0.7710088899173992
78,-0.55139023,2.5530380457274164,45000.0,45680060.0,0.0,-13.282400463753625,-15.086652346081497,2.5530380457274164
79,0.21152386,-0.35977292764558066,43850.0,45677547.0,219.0,-13.136607948587583,-14.955245298830846,-0.35977292764558066
80,0.055119038,1.690548560736005,44050.0,45721266.0,45.0,-12.768927133983139,-14.459198176719735,1.690548560736005
81,-0.31322202,1.4418328888876895,43050.0,45450400.0,83.0,-14.557175349390679,-16.367452975280454,1.4418328888876895
82,-0.1889205,0.30561578654844795,42300.0,45311539.0,34.0,-15.47110025263095,-17.514763425679345,0.30561578654844795
83,-0.16310108,-0.6296022255312418,42150.0,45287679.0,24.0,-15.468310751184942,-17.574515457381693,-0.6296022255312418
84,0.06066668,-0.1956370401302214,42450.0,45324536.0,57.0,-15.186250556662499,-17.164984293705118,-0.1956370401302214
85,0.024113,3.1427190440654083,42550.0,45342510.0,21.0,-15.000847795643413,-16.86059125583507,3.1427190440654083
86,-0.4104187,0.9802543752978922,40900.0,45003704.0,82.0,-17.137897943137894,-18.943562699810567,0.9802543752978922
87,-0.058009118,-1,40450.0,44949306.0,6.0,-17.751563172776542,-19.725452785296735,-1.3311413055836374
88,-0.4746013,-1,41050.0,45014067.0,54.0,-17.332397205926387,-19.1894433204449,-2.0724857341385583
89,-0.3320831,-0.11464070407462788,41950.0,45066759.0,19.0,-16.838383171753403,-18.5640439694547,-0.11464070407462788
90,0.16859356,-1,42000.0,45067778.0,173.0,-17.047845769689044,-18.692187234180068,-1.5248896155179132
91,-0.21720791,-1,42800.0,45235746.0,46.0,-15.763170357189168,-17.373151461392176,-1.2772895789674128
92,-0.43276742,-0.7314165307761229,43450.0,45339810.0,72.0,-14.90918141979541,-16.410947867256738,-0.7314165307761229
93,-0.32360047,1.9258580515796029,43800.0,45371182.0,31.0,-14.861072807877163,-16.27846578035434,1.9258580515796029
94,-0.18648231,-1,42900.0,45311837.0,12.0,-15.43668055087757,-17.007957386468625,-2.878245633027347
95,-0.36382487,0.656255852126564,44200.0,45379359.0,19.0,-15.014674911282018,-16.486276181404833,0.656255852126564
96,-0.3121564,-1,43900.0,45368439.0,10.0,-15.15629824034691,-16.67956944563321,-1.1125020584632717
97,-0.14978144,2.978068391329812,44400.0,45380222.0,3.0,-14.972919879970249,-16.395190469164774,2.978068391329812
98,-0.28419665,1.7157003056289772,43050.0,45351520.0,5.0,-14.933922590248773,-16.414167925850858,1.7157003056289772
99,-0.0051463246,3.8424818720609144,42300.0,45339520.0,0.0,-15.144627562781,-16.684405866086827,3.8424818720609144
100,-0.38531303,-1,40650.0,45312721.0,6.0,-15.23654370626942,-16.84394527629105,-2.9255468908366895
101,0.10836485,-1,41850.0,45324032.0,116.0,-15.10470851168671,-16.617855188518895,-2.9560832634071157
102,0.044956177,0.0,43250.0,45500181.0,41.0,-13.672215411416019,-15.129372180592952,0.0
103,-0.2547169,-1,43250.0,45497200.0,42.0,-13.89550174609735,-15.399786651197443,-1.7317870644291444
104,-0.7109925,-1,44100.0,45597078.0,88.0,-13.035569847474155,-14.427107626581606,-1.530499701882526
105,-0.1961479,0.9748735998626843,44800.0,45622464.0,7.0,-12.990056027581188,-14.312495183016724,0.9748735998626843
106,0.07941392,-1,44350.0,45608467.0,79.0,-12.958345509096526,-14.314169276899696,-5.845822087497519
107,-0.2250011,0.6759579715201559,47250.0,45922705.0,24.0,-10.16059784851984,-11.517037424794095,0.6759579715201559
108,0.2377038,-0.7425090555594166,46900.0,45891544.0,212.0,-10.499187960637643,-11.946629477177199,-0.7425090555594166
109,-0.5046577,1.8775725880731728,47400.0,46028449.0,149.0,-9.289315556692653,-10.579280449424212,1.8775725880731728
110,-0.16700734,0.566152597570957,46350.0,45871224.0,24.0,-10.507459072243902,-12.029377286703374,0.566152597570957
111,-0.112889975,0.578810790769411,46050.0,45833042.0,13.0,-10.842251217810697,-12.463021771152526,0.578810790769411
112,-0.7017369,-1,45750.0,45793958.0,77.0,-11.127368582693332,-12.842127717452072,-2.9561654461960463
