timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
77,0.0130493175,-0.1211952758164993,24158736.0,1.0,-123.41354363094396,-206.73378574007,-0.006236194146194582
78,0.2162157,-0.13992434856935201,23817111.0,19.0,-124.81823145430033,-210.15536207697465,-0.014140847435064484
79,0.32606265,-0.15384471395843302,23466921.0,23.0,-123.98396185203468,-209.6713003841402,-0.014703294618730206
80,0.11493465,-0.08597899967018026,24307951.0,5.0,-115.92004453481226,-202.51252051451178,0.035838958165836925
81,-0.055201527,-0.11663965417156871,24225289.0,44.0,-115.57018115630497,-202.28727930961188,-0.003400615708004348
82,-0.10435511,-0.09135986823694611,24564428.0,79.0,-112.06579013563831,-195.99447707083877,0.013999378913498204
83,-0.045914724,-0.1012584400494615,24562953.0,31.0,-112.17955237384822,-195.26979076052376,-6.00461773422935e-05
84,-0.012862977,-0.1296888733080364,24138781.0,8.0,-110.48499788153818,-192.28858258044926,-0.017268770574938606
85,0.15955406,-0.08712404527526953,24589449.0,32.0,-110.15094245532892,-192.3687160659656,0.018669874008965075
86,-0.02401485,-0.059425640311825914,25197063.0,16.0,-106.3529927867129,-187.6098678771152,0.024710354428844665
87,-0.1842582,-0.09026273907959989,24993173.0,121.0,-104.35102201497472,-185.299941708503,-0.008091816097772982
88,0.41487014,-0.10797889627495666,24642296.0,128.0,-106.53656598016853,-190.0553461496131,-0.014038913746565912
89,-0.020415276,-0.05124795886690349,25342006.0,13.0,-106.03573805572628,-191.90470649181572,0.028394675561075965
90,0.12973768,-0.08196259059201937,25178405.0,24.0,-105.2378615261275,-191.46834851263287,-0.006455724144331747
91,0.08910319,-0.025653559189643918,25958044.0,14.0,-102.69037450441269,-190.039127520399,0.0309645904893499
92,0.013953315,-0.011016638195669878,26511640.0,1.0,-99.91687034596947,-185.70447840650104,0.021326568365474686
93,0.038766615,-0.02369337353503738,26546268.0,5.0,-91.78539693995883,-169.68172928506857,0.0013061432638644761
94,-0.28831598,-0.013953389523191043,26710191.0,201.0,-90.66272298869553,-166.80913098064593,0.006174992281400911
95,0.42645043,-0.04731820050451986,26262241.0,147.0,-91.85037233427396,-169.16089860858418,-0.016770752406824796
96,0.06369807,-0.008255636597311947,26680787.0,12.0,-88.82882384152052,-163.5635514032969,0.01593717763842012
97,-0.16530237,0.005745733057433602,27068643.0,108.0,-88.4842129556837,-162.73618910837862,0.01453690252839993
98,-0.113303155,-0.013475789742964886,26928371.0,62.0,-85.17054703511693,-157.28619685184026,-0.0051820846726598
99,0.17591418,0.008977268912224265,27219692.0,60.0,-84.98777478078505,-156.4700640712676,0.010818366992938415
100,0.07575248,-0.030220248434612393,26728193.0,22.0,-86.49750281766228,-159.08778213516638,-0.01805674362516666
