timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
14,0.052870914,-0.02130954906485467,20180405, 124500.csv,4495.0,4500.0,460.0,37772048.0,39839748.0,458.0,-0.0005264695476099824,-0.029954887218045113,-0.0013512637085891259,-0.12108890362346134,-0.07068972977018895,-0.15100751879699248,-0.12108890362346134,-0.00014661447685426765,-278.11431697204506,-208.44700263757835,buy
15,0.046443015,3.67312366049366e-05,20180406, 124500.csv,4500.0,4415.0,850.0,36018750.0,39843750.0,390.0,0.005773128886257011,-0.15162907268170425,-0.12171064374972673,0.004894675679563344,0.0001197820755948209,-0.14097744360902253,0.010667804565820355,1.1380198949861864e-06,-91.57526933439961,-66.70953554787448,buy
16,0.19327694,-0.22059021965485204,20180409, 124500.csv,4415.0,4445.0,2396.0,29060763.0,39639103.0,1546.0,-0.18133333333333332,-0.14345112781954886,0.008190363834887486,-0.5111593289852915,-0.7292120666060845,-0.6538771929824562,-0.5111593289852915,-0.002609428104323852,-92.32273505955598,-65.89075689972242,buy
17,-0.16804291,-0.0012248341574873645,20180410, 124500.csv,4445.0,4390.0,1994.0,30832679.0,39696009.0,402.0,0.18133609128339762,-0.6611804511278195,-0.5184730787872317,-0.030413407974969553,-0.004614198648227208,-0.5112556390977444,0.15092268330842806,0.00022775062425828274,-27.20254796040729,-19.459431912790034,sell
18,-0.038364768,-0.00032802139150035493,20180411, 124500.csv,4390.0,4230.0,1918.0,31169946.0,39589966.0,76.0,-0.27627462498811906,-0.512641604010025,0.1495274936750352,0.010526323721596287,0.0005538640161260044,-0.7770275689223058,-0.26574830126652277,-0.0007059722804830804,-25.214361397340284,-18.630110885678466,sell
19,-0.38851935,0.10772640964012353,20180412, 124500.csv,4230.0,4310.0,1173.0,34435127.0,39396917.0,745.0,-0.7751459043940578,-0.7904837092731829,-0.27927377884259597,0.30102209305400557,0.36432732020540837,-1.260859649122807,-0.47412381134005227,-0.0022454091735699677,-25.449807011079542,-19.929211662382937,sell
20,-0.082058646,-0.00023453100874959443,20180413, 124500.csv,4310.0,4330.0,1077.0,34840541.0,39482411.0,96.0,0.23819122699372644,-1.2625288220551378,-0.4758062839442322,-0.01949021404708845,-0.001897539609013843,-1.0465889724310777,0.218701012946638,0.0004781869627922264,-24.06610909790613,-19.65258330460391,sell
21,0.0061951876,3.243609721228502e-05,20180416, 124500.csv,4330.0,4350.0,1127.0,34625011.0,39504921.0,50.0,0.05455593884578123,-1.0466641604010025,0.21862486356887104,0.002532816769033386,3.2075289504329696e-05,-0.990172932330827,0.057088755614814614,3.2590729087123016e-05,-21.9242448258943,-18.666178516195597,buy
22,0.14108816,0.004935070779854833,20180417, 124500.csv,4350.0,4325.0,2254.0,29744409.0,39549309.0,1127.0,0.057056182949967164,-0.991907268170426,0.05533607509638287,0.05705818186905005,0.016146406989694162,-0.8789248120300751,0.11411436481901721,0.0001302124042094066,-22.033127026526955,-18.49864364966022,buy
23,-0.35023034,0.0036460885748061164,20180418, 124500.csv,4325.0,4125.0,1465.0,33170924.0,39507049.0,789.0,-0.14248036545973533,-0.893047619047619,0.09985006921664007,0.04986125272883431,0.012353780332093667,-0.9848395989974938,-0.09261911273090102,-8.57793211742619e-05,-21.620914611766292,-18.049286168308726,sell
